NestID	Location	Longitude	Latitude	Height	Stage	Webpage
1	Melle	50.9979094	3.7824062	22	secondary	https://www.inaturalist.org/observations/131762910 
3	Schiplaken_Blokstraat	50.9782570	4.5297150	38	secondary	https://www.inaturalist.org/observations/132656804
4	Schiplaken_Goorstraat	50.9834210	4.5311970	18	secondary	https://www.inaturalist.org/observations/133230405
6	Gentbrugge	51.0237480	3.7523830	11	secondary	https://www.inaturalist.org/observations/134191993
10	Brasschaat	51.2944630	4.4872740	16	secondary	https://www.inaturalist.org/observations/129701082
11	Huldenberg	50.7771780	4.6039260	32	secondary	https://www.inaturalist.org/observations/134135385
12	Overijse	50.7504330	4.5621190	25	secondary	https://www.inaturalist.org/observations/133932434
13	Schilde	51.2702660	4.6123370	26	secondary	https://www.inaturalist.org/observations/134004710
14	Keerbergen	51.0034436	4.6232369	30	secondary	https://www.inaturalist.org/observations/129163560
15	Beerse	51.2976850	4.8429000	18	secondary	https://www.inaturalist.org/observations/131165218
16	Gent_parklaan	51.0346460	3.7185090	13	secondary	https://www.inaturalist.org/observations/137830318
17	Zomergem	51.1212753	3.5723362	30	secondary	https://www.inaturalist.org/observations/133639051
18	Aalst	50.9368310	4.0664850	20	secondary	https://www.inaturalist.org/observations/134826401 
19	Gent_internaat	51.0320220	3.7217500	16	secondary	https://www.inaturalist.org/observations/136005198
20	Tremelo	50.9935570	4.6956450	10	secondary	https://www.inaturalist.org/observations/136058120
21	Drongen_kruisstraat	51.0568590	3.6456350	19	secondary	https://www.inaturalist.org/observations/137830308
22	Gent_Ledeganck	51.0377990	3.7282840	15	secondary	https://www.inaturalist.org/observations/137877252
23	Kalmthout	51.3967590	4.5186050	21	secondary	https://www.inaturalist.org/observations/135480220
24	Linden	50.9032900	4.7727870	1	secondary	https://www.inaturalist.org/observations/137830293
26	Opwijk	50.9668228	4.1827444	15	secondary	https://www.inaturalist.org/observations/138141377
27	Heuvelland	50.7718390	2.8121320	17	secondary	https://www.inaturalist.org/observations/137432993
28	Destelbergen	51.0513380	3.7631130	8	secondary	https://www.inaturalist.org/observations/139134482
29	Aarschot_Langaard	50.9571959	4.8513333	0.3	secondary	https://www.inaturalist.org/observations/137877125 
30	Aarschot_Sluiskensweg	50.9957106	4.8297636	8	secondary	https://www.inaturalist.org/observations/139082630
31	Drongen_Kroonprinsstraat	51.0512340	3.6532920	26	secondary	https://www.inaturalist.org/observations/140168399
32	Herentals	51.1833530	4.8470980	26	secondary	https://www.inaturalist.org/observations/139883361
33	Gent_Reigerspark	51.0335820	3.7106930	19	secondary	
34	Aarschot_Gelrode	50.9677650	4.7895880	17	secondary	https://www.inaturalist.org/observations/139938633
35	Werchter	50.9735430	4.7393770			Niet op iNaturalist gemeld?
36	Werchter_Guldentop	50.9799210	4.7532960	20	secondary	https://www.inaturalist.org/observations/131542772
37	Maldegem	51.1555030	3.4758620	14	secondary	https://www.inaturalist.org/observations/139768597
38	Sint_Amandsberg	51.0617100	3.7479900	3	secondary	
39	Sint_AmandsbergBoom	51.0615390	3.7480440		secondary	
40	Schiplaken_Venstraat	50.9830400	4.5316300	5	tertiary	
41	Werchter_Hinderenberg	50.9782330	4.6956150	12	secondary	https://www.inaturalist.org/observations/139134380
